0,0.174603,0.122731,0.995712
1,0.817295,0.170993,0.996403
1,0.809828,0.197977,0.992253
0,0.137984,0.277911,0.990831
0,0.181151,0.274414,0.117526
0,0.135395,0.240608,0.187885
1,0.797668,0.158441,0.970851
1,0.803289,0.122475,0.9976
1,0.794296,0.142969,0.960193
1,0.778491,0.129402,0.915137
0,0.188356,0.230577,0.239496
1,0.8144,0.15762,0.987762
0,0.123059,0.289257,0.204104
1,0.85559,0.201513,0.958505
0,0.0755191,0.36362,0.999247
0,0.136501,0.287739,0.148652
1,0.803683,0.198938,0.991287
0,0.0831023,0.220862,0.136931
0,0.182705,0.177937,0.306165
0,0.349118,0.272787,0.249225
0,0.222013,0.261543,1
1,0.799619,0.206896,0.914025
1,0.738997,0.200066,0.954885
1,0.798225,0.167183,0.960254
1,0.750963,0.141989,0.954356
1,0.829135,0.172518,0.80006
0,0.154129,0.299531,0.997461
1,0.861508,0.153998,0.944164
1,0.803189,0.195764,0.974996
0,0.111381,0.232071,0.13072
1,0.7924,0.210462,0.990122
0,0.164351,0.29547,0.106707
1,0.846904,0.198931,0.882415
1,0.795277,0.163144,0.952234
0,0.113517,0.270713,0.995508
1,0.80624,0.181806,0.966996
1,0.799924,0.196111,0.96821
0,0.0821668,0.29251,0.260867
1,0.823436,0.219956,0.75
0,0.587377,0.191132,0.126691
1,0.822217,0.131101,0.957136
1,0.779332,0.201313,0.999135
1,0.814997,0.165028,0.972887
1,0.848308,0.18822,0.990091
1,0.836666,0.145,0.957157
1,0.814716,0.135008,0.94616
0,0.15169,0.213946,0.992383
0,0.0961168,0.143078,0.23724
0,0.0921105,0.292794,0.0767972
0,0.522841,0.257365,0.155105
1,0.814084,0.200865,0.933173
0,0.121296,0.246962,0.1491
1,0.764464,0.209438,0.924439
1,0.793986,0.143525,0.909841
1,0.776989,0.179912,0.991399
0,0.579595,0.261168,0.263988
0,0.147311,0.27818,0.611803
1,0.78534,0.164806,0.951518
1,0.737863,0.184863,0.997783
1,0.823063,0.215726,0.883003
0,0.0632841,0.282663,0.113479
1,0.826539,0.21137,0.974537
1,0.793711,0.178629,0.853188
0,0.357047,0.283765,0.99524
0,0.219929,0.256568,0.996954
1,0.838818,0.167803,0.991638
0,0.143414,0.142328,0.990508
1,0.722853,0.151992,0.997079
